2026-05-24 23:58:54 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:57 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:57 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:00 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:00 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:03 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:03 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:06 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:06 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:09 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:09 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:12 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:12 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:15 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:15 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:18 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:18 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:21 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:21 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:24 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:24 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:27 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:27 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:30 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:30 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:33 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:33 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:36 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:36 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:39 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:39 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:59:42 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:59:42 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-25 00:09:18 | ERROR    | audio_manager        | Initialisation volume master : 'AudioDevice' object has no attribute 'Activate'
2026-05-25 00:09:18 | INFO     | audio_manager        | Microphone initialisé
2026-05-25 00:09:18 | INFO     | agent                | ============================================================
2026-05-25 00:09:18 | INFO     | agent                | Kore Deck — Agent PC v2.0
2026-05-25 00:09:18 | INFO     | agent                | Port : COM3 | WS : ws://localhost:8765
2026-05-25 00:09:18 | INFO     | agent                | ============================================================
2026-05-25 00:09:18 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-25 00:09:18 | INFO     | serial_manager       | Threads série démarrés
2026-05-25 00:09:18 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-25 00:09:18 | INFO     | system_monitor       | HWiNFO non disponible — FPS désactivé
2026-05-25 00:09:21 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
